trade_date,return,positions,stops,cum_return,equity
2026-04-23,-0.012736067749246122,20,0,0.9872639322507539,98726.39322507539
2026-04-24,0.003106158708186507,20,0,0.9903305307111929,99033.0530711193
2026-04-27,0.03587538524998592,20,0,1.0258590200252802,102585.90200252802
2026-04-28,0.008331429575122062,20,0,1.0344058922046244,103440.58922046244
2026-04-29,0.007711860923850544,20,0,1.042383086584118,104238.3086584118
2026-04-30,0.022766114053318437,20,0,1.066114098820542,106611.4098820542
2026-05-06,0.010823149869473497,20,0,1.0776528114900354,107765.28114900354
2026-05-07,-0.004848490145425044,20,0,1.0724278224533363,107242.78224533364
2026-05-08,-0.015042166361535898,20,0,1.0562961847372536,105629.61847372536
2026-05-11,-0.04062670313672197,20,0,1.013382353215481,101338.23532154811
2026-05-12,-0.012086924896093592,20,7,1.001133676821139,100113.3676821139
2026-05-13,-0.042890396174200734,20,10,0.958194656798946,95819.4656798946
2026-05-14,-0.025105669080807712,20,5,0.9341385388303536,93413.85388303536
2026-05-15,-0.004725948747293351,20,7,0.9297238479729698,92972.38479729698
2026-05-18,0.02833527061855907,20,2,0.956067824805812,95606.7824805812
2026-05-19,-0.03645745159952951,20,11,0.9212120283570866,92121.20283570865
2026-05-20,-0.016456438591550483,20,7,0.9060521591826306,90605.21591826306
